sentence	label
when are bears bears and 	1
kids , spirit 	1
she never lets her character become a caricature -- not even with that radioactive hair 	1
has so many flaws it would be easy for critics to shred it 	0
, and motorcycles 	1
quirkily appealing 	1
tested by bad luck and their own immaturity 	0
with the precision of the insurance actuary 	1
informative , intriguing , observant 	1
a bonus 	1
in a standard plot 	0
major opportunity to be truly revelatory about his psyche 	1
, it manages to maintain both a level of sophisticated intrigue and human-scale characters that suck the audience in . 	1
into something provocative , rich , and strange 	1
nohe 's documentary about the event is sympathetic without being gullible 	1
claire is a terrific role for someone like judd , who really ought to be playing villains . 	1
, the biggest is that secret ballot is a comedy , both gentle and biting . 	1
how i killed my father compelling 	1
an obvious rapport with her actors 	1
brilliant and 	1
will gratify anyone who has ever suspected hollywood of being overrun by corrupt and hedonistic weasels . 	1
surprises you 	1
intriguing plot 	1
it 's mildly interesting to ponder the peculiar american style of justice that plays out here , but 	1
are so unmemorable , despite several attempts at lengthy dialogue scenes , that one eventually resents having to inhale this gutter romancer 's secondhand material 	0
it 's a treat -- a delightful , witty , improbable romantic comedy with a zippy jazzy score 	1
a pleasing , often-funny comedy . 	1
incorporates so much 	1
channeling kathy baker 's creepy turn as the repressed mother on boston public just as much as 8 women 's augustine 	0
energy and geniality 	1
together ( time out and human resources ) establish mr. cantet as france 's foremost cinematic poet of the workplace . 	1
quite tasteful to look at 	1
what could have been a daytime soap opera is actually a compelling look at a young woman 's tragic odyssey . 	1
an air of dignity that 's perfect for the proud warrior that still lingers in the souls of these characters 	1
while adding a bit of heart and unsettling subject matter 	1
as the movie dragged on , i thought i heard a mysterious voice , and felt myself powerfully drawn toward the light -- the light of the exit sign . 	0
far more often than the warfare itself -- 	1
with so many bad romances out there , this is the kind of movie that deserves a chance to shine . 	1
easy , seductive 	1
corny conventions 	0
is n't 	0
full-bodied 	1
grows on you -- 	1
manages to be compelling , amusing and unsettling at the same time 	1
it 's no lie -- big fat liar is a real charmer . 	1
the actors are simply too good , and the story too intriguing , for technical flaws to get in the way . 	1
's coherent , well shot , and 	1
are committed 	1
of promise 	1
marvel at the sometimes murky , always brooding look of i 	1
of a genuine and singular artist 	1
enjoyably fast-moving , hard-hitting documentary . 	1
a cellophane-pop remake of the punk classic ladies and gentlemen , the fabulous stains 	0
gates 	1
works its magic with such exuberance and passion that the film 's length becomes a part of its fun 	1
a mawkish self-parody that plays like some weird masterpiece theater sketch with neither 	0
keep you wide awake and ... very tense 	1
's just rather leaden and dull 	0
an unexpectedly sweet story 	1
some of the visual flourishes are a little too obvious , but restrained and subtle storytelling , and fine performances make this delicate coming-of-age tale a treat . 	1
their lofty perch 	1
amused 	1
low , very low , very very low 	0
that the rampantly designed equilibrium becomes a concept doofus 	0
would n't make trouble every day any better 	0
that flow through the hollywood pipeline without a hitch 	1
combines improbable melodrama ( gored bullfighters , comatose ballerinas ) with subtly kinky bedside vigils and sensational denouements , and yet at the end 	0
by then , your senses are as mushy as peas 	1
disastrous ending 	0
funny no-brainer 	1
... really horrible drek . 	0
as its own most damning censure 	0
the all-too-familiar dramatic arc 	0
an engaging , wide-eyed actress whose teeth are a little too big for her mouth 	0
unspeakable 	0
succeed merrily 	1
virulently unpleasant excuse 	0
one of the funnier movies 	1
plays like a glossy melodrama that occasionally verges on camp . 	0
a fascinating glimpse of urban life 	1
and we do n't avert our eyes for a moment . 	1
it 's an enjoyable trifle nonetheless 	1
delightfully unpredictable , hilarious 	1
give a filmmaker an unlimited amount of phony blood 	0
it sounds like another clever if pointless excursion into the abyss , and that 's more or less how it plays out . 	0
the downward spiral 	0
exit 	0
to have been lost in the translation this time 	0
be mildly amusing 	1
it 's packed with adventure and a worthwhile environmental message , 	1
than this facetious smirk of a movie 	0
sits there like a side dish no one ordered . 	0
equals the original and in some ways even betters it 	1
savagely hilarious 	1
an enjoyable 	1
stock clichés 	0
is n't nearly surprising or clever enough to sustain a reasonable degree of suspense on its own 	0
the ridicule factor 	0
most purely enjoyable and satisfying 	1
rubbo 's humorously tendentious intervention into the who-wrote-shakespeare controversy . 	1
wasting 	0
was followed by the bad idea 	0
a bit on the skinny side 	0
skeeved out that they 'd need a shower 	0
